name,município,data_avist,estado,latitude,longitude,data_revis,status
Atalaia,Aracajú,2019-10-02,SE,-10.9805805555556,-37.0363222222222,2019-11-02,Oleada - Vestígios/Esparsos
Mosqueiro,Aracajú,2019-10-16,SE,-11.0459722222222,-37.0870055555556,2019-11-02,Oleada - Vestígios/Esparsos
Praia de Aruanã,Aracajú,2019-10-15,SE,-11.1036444444444,-37.1276527777778,2019-11-01,Oleada - Vestígios/Esparsos
Praia de Coroa do Meio,Aracajú,2019-10-16,SE,-10.963825,-37.0380888888889,2019-11-03,Oleada - Vestígios/Esparsos
Praia dos Artistas,Aracajú,2019-10-29,SE,-10.9685111111111,-37.0351444444444,2019-11-01,Oleada - Vestígios/Esparsos
Praia dos Náufragos,Aracajú,2019-10-29,SE,-11.1295138888889,-37.142,2019-11-01,Oleada - Vestígios/Esparsos
Atalaia Nova,Barra dos Coqueiros,2019-09-02,SE,-10.9522222222222,-37.0294444444444,2019-10-30,Oleada - Vestígios/Esparsos
Barra dos Coqueiros,Barra dos Coqueiros,2019-09-24,SE,-10.9394638888889,-37.0208555555556,2019-10-17,Oleada - Vestígios/Esparsos
Praia Atalaia Nova,Barra dos Coqueiros,2019-10-21,SE,-10.9218,-37.04695,2019-11-03,Oleada - Vestígios/Esparsos
Praia da Costa,Barra dos Coqueiros,2019-09-02,SE,-10.9286111111111,-37.0136111111111,2019-11-03,Oleada - Vestígios/Esparsos
Praia de Jatobá,Barra dos Coqueiros,2019-09-24,SE,-10.8043083333333,-36.9113527777778,2019-10-28,Óleo - Não Observado
Praia do Porto,Barra dos Coqueiros,2019-09-02,SE,-10.8452777777778,-36.9480555555556,2019-10-26,Óleo - Não Observado
