name,município,data_avist,estado,data_revis,status,latitude,longitude
Praia dos Artistas,Aracajú,2019-10-29,SE,2019-11-04,Oleada - Vestígios/Esparsos,-10.9741527777778,-37.0309166666667
Barra dos Coqueiros,Barra dos Coqueiros,2019-09-24,SE,2019-10-17,Oleada - Vestígios/Esparsos,-10.9407,-37.0205333333333
Mangue,Indiaroba,2019-10-12,SE,2019-10-30,Oleada - Vestígios/Esparsos,-11.4360444444444,-37.4074388888889
Foz do Rio São Francisco,Brejo Grande,2019-10-09,SE,NA,Óleo - Não Observado,-10.49215,-36.411275
Mangue,Itaporanga d'Ajuda,2019-10-12,SE,2019-10-30,Oleada - Manchas,-11.1143194444444,-37.1683611111111
Praia do Saco (2),Estância,2019-11-02,SE,NA,Oleada - Vestígios/Esparsos,-11.4254444444444,-37.3175694444444
Praia Atalaia Nova,Barra dos Coqueiros,2019-10-21,SE,2019-11-03,Oleada - Vestígios/Esparsos,-10.923400000000001,-37.0448305555556
Praia dos Náufragos,Aracajú,2019-10-29,SE,2019-11-01,Oleada - Vestígios/Esparsos,-11.1333833333333,-37.1422027777778
Praia do Porto,Barra dos Coqueiros,2019-09-02,SE,2019-10-26,Óleo - Não Observado,-10.8442472222222,-36.9479805555556
Atalaia Nova,Barra dos Coqueiros,2019-09-02,SE,2019-10-30,Oleada - Vestígios/Esparsos,-10.9494611111111,-37.026125
Abais,Estância,2019-09-03,SE,2019-11-02,Oleada - Vestígios/Esparsos,-11.307175,-37.2718805555556
Caueira,Itaporanga d'Ajuda,2019-10-03,SE,2019-11-02,Oleada - Vestígios/Esparsos,-11.2201277777778,-37.2044638888889
Atalaia,Aracajú,2019-10-02,SE,2019-11-02,Oleada - Vestígios/Esparsos,-10.9821916666667,-37.0372694444444
Coqueirinho,Itaporanga d'Ajuda,2019-10-30,SE,2019-10-31,Oleada - Vestígios/Esparsos,-11.1798472222222,-37.1661472222222
Praia da Costa,Barra dos Coqueiros,2019-09-02,SE,2019-11-03,Oleada - Vestígios/Esparsos,-10.9244361111111,-37.0105916666667
